model,lr,seed,molecule,roc_auc,pr_auc,f1,accuracy,mcc,n_folds
esm3_small,e5,s128,HLA-DRB1~16:02_HLA-DRA~01:01,0.681886574074074,0.8777813741425504,0.7954646567743541,0.6942857142857143,0.17683193181528872,5
esm3_small,e5,s128,HLA-DRB3~01:01_HLA-DRA~01:01,0.7112089734004288,0.6281146868805698,0.6133222662830045,0.6007152145643693,0.2754436415410668,5
esm3_small,e5,s128,HLA-DRB3~02:02_HLA-DRA~01:01,0.8334814563856145,0.8471892563891303,0.7384350044478054,0.7347976878612716,0.48490229917037053,5
esm3_small,e5,s128,HLA-DRB3~03:01_HLA-DRA~01:01,0.7930022964273613,0.8674806629403408,0.7808753983709845,0.7260416666666667,0.4229347184659608,5
esm3_small,e5,s128,HLA-DRB4~01:01_HLA-DRA~01:01,0.7885321526111065,0.7754546521128669,0.7283824238535315,0.6989540700318326,0.417588093723524,5
esm3_small,e5,s128,HLA-DRB5~01:01_HLA-DRA~01:01,0.8389921767847988,0.9074878197938909,0.8361049981350593,0.7688774045363193,0.4643973476078694,5
esm3_small,e5,s42,H2-IAbB_H2-IAbA,0.77743397706258,0.9171755910477236,0.7710483752118416,0.6970617042115573,0.35881403950891233,5
esm3_small,e5,s42,H2-IAdB_H2-IAdA,0.6343256059009483,0.5339343850704535,0.564698408801963,0.5848,0.19209816176811595,5
esm3_small,e5,s42,H2-IEdB_H2-IEdA,0.5027845627747924,0.20113538294288072,0.3184839872513562,0.46964285714285714,0.04217695678770912,5
esm3_small,e5,s42,HLA-DPB1~01:01_HLA-DPA1~02:01,0.9479836064176956,0.9788450154396513,0.894733582173776,0.8387642826914938,0.5946911435024262,5
esm3_small,e5,s42,HLA-DPB1~02:01_HLA-DPA1~01:03,0.9059503263659382,0.9664866490495772,0.8889615890608165,0.8091706539074959,0.3349402032371985,5
esm3_small,e5,s42,HLA-DPB1~04:01_HLA-DPA1~01:03,0.9682273909006499,0.9908293975052803,0.9481942844324713,0.9196024295969079,0.7729523361345912,5
esm3_small,e5,s42,HLA-DPB1~04:02_HLA-DPA1~03:01,0.8422840894575788,0.622543672586197,0.6165310346694797,0.7936475409836066,0.48067277210054166,5
esm3_small,e5,s42,HLA-DPB1~05:01_HLA-DPA1~02:01,0.7887218733647305,0.4870733562785139,0.49774081545800125,0.6909836065573771,0.3518460771574356,5
