model,lr,stratum,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,f1,f1_sd,accuracy,accuracy_sd,mcc,mcc_sd,n_seeds,seeds,n
deepneo,e3,Overall,0.8942827071461861,0.0015157643588077645,0.9270332180788148,0.0012551024975635465,0.8377093775877326,0.0022321101536085233,0.8109595938404732,0.0015271384643069867,0.61176454362697,0.003554540906154574,3.0,s100|s128|s42,
esm3_large,e5,"9-mer overlap, not exact",0.9360275250411996,0.0021894440721669027,0.9860951528648852,0.00047115718981769443,0.9399389135386417,0.0012200835819263106,0.8996274004012611,0.0020554517792200815,0.6351141146599469,0.009986775570304775,3.0,s100|s128|s42,
esm3_large,e5,>=1 9-mer overlap,0.9187603910878939,0.00206656813089368,0.9345311459218119,0.0018323731326522845,0.84497683883739,0.0018320322565394855,0.835326036545775,0.0026230703150742288,0.6698521176116072,0.005806002466057128,3.0,s100|s128|s42,
esm3_large,e5,Exact 15-mer match,0.9065646024428363,0.002218057062432937,0.9086368867458482,0.0023414066960577703,0.8125290258918104,0.0020308396697252327,0.8229126321031374,0.0027328158695534297,0.6453189671354522,0.005501519124070807,3.0,s100|s128|s42,
esm3_large,e5,No 9-mer overlap,0.8962835012434023,0.002211395640885777,0.9964973764244797,4.1060591715126e-05,0.96834432570579,0.0004976018644430323,0.9395562356541699,0.0009760788693323949,0.32027374692237826,0.015607262790782657,3.0,s100|s128|s42,
esm3_large,e5,Overall,0.927396114944775,0.0019357454331247925,0.9505727925675602,0.001450900726415268,0.8670672984091131,0.001499008383257987,0.8465957974851092,0.002362780752664178,0.6862503321050787,0.005855466425472924,3.0,s100|s128|s42,
esm3_medium,e5,"9-mer overlap, not exact",0.9311762439486652,0.00416150531704156,0.9851365702144514,0.0009209232242739604,0.933818874562044,0.003376445541373863,0.890331518104519,0.005245160302407222,0.6147889840018533,0.013516974441309296,3.0,s100|s128|s42,
esm3_medium,e5,>=1 9-mer overlap,0.9105439564748125,0.0033461381468127553,0.9274192431133983,0.0026762044454290528,0.8359270456625391,0.0044470029969909276,0.8259499737191973,0.00414128649407117,0.6511149017726153,0.008159920865278227,3.0,s100|s128|s42,
esm3_medium,e5,Exact 15-mer match,0.8978090158064164,0.003466540996807994,0.8994070602512662,0.00328290825988651,0.8027958713271975,0.004984885216449721,0.8135210903926668,0.00418424413693214,0.62644785254704,0.00845713001735226,3.0,s100|s128|s42,
esm3_medium,e5,No 9-mer overlap,0.8863738071369625,0.0037838794377010442,0.9960750145419791,0.0001214887072276849,0.9640723650672253,0.0038636705468234806,0.9317138485080337,0.007092458745314318,0.30588561266993164,0.01774128059735828,3.0,s100|s128|s42,
esm3_medium,e5,Overall,0.9195864809113786,0.003304935112212637,0.944899415915466,0.002254085698879307,0.8588093816670836,0.004268614478093057,0.837385561438341,0.004330014908380085,0.6676994957006226,0.008403748887006202,3.0,s100|s128|s42,
