model,lr,seed,stratum,roc_auc,pr_auc,f1,accuracy,mcc,n_folds
esm3_small,e5,s42,>=1 9-mer overlap,0.9119646944718524,0.9288266031562282,0.8377977541873378,0.8278499211575922,0.6546504799200603,5
esm3_small,e5,s42,Exact 15-mer match,0.8992819863329673,0.9011772127771508,0.8045430552493864,0.8151718032424057,0.6294821339668709,5
esm3_small,e5,s42,No 9-mer overlap,0.8803343062701809,0.9958605996314589,0.9634292273086114,0.9304896710022954,0.30376158442790213,5
esm3_small,e5,s42,Overall,0.9206687136588461,0.9458283870534692,0.8602106266790571,0.8389477167438782,0.6706251896054137,5
esmc_large,e5,s100,"9-mer overlap, not exact",0.9051477099395212,0.9788417904250728,0.9218507926257076,0.870994554313557,0.5533822743491339,5
esmc_large,e5,s100,>=1 9-mer overlap,0.8998425830252585,0.9189697366929129,0.8222269540036663,0.8147435302847603,0.63039556378478,5
esmc_large,e5,s100,Exact 15-mer match,0.8873488733434038,0.8903166746182734,0.7878261006092303,0.8038842472196095,0.607276597368896,5
esmc_large,e5,s100,No 9-mer overlap,0.8604955331675462,0.9952135746713321,0.9539133632094654,0.9133129303749044,0.24621078368718222,5
esmc_large,e5,s100,Overall,0.909357817492098,0.93775535455975,0.8459140119570628,0.8254012243547318,0.6464365381101622,5
esmc_large,e5,s128,"9-mer overlap, not exact",0.9054196861516182,0.9789597329568716,0.9184243963209522,0.8664946976210949,0.5547433084362625,5
esmc_large,e5,s128,>=1 9-mer overlap,0.8989047499646988,0.9183246437257111,0.8199392576358214,0.8134171227158891,0.6282771743331279,5
esmc_large,e5,s128,Exact 15-mer match,0.8866087317495273,0.8898443156736017,0.7861180255285571,0.8031704752946384,0.6058008193014166,5
esmc_large,e5,s128,No 9-mer overlap,0.8637663179232691,0.9953389683470684,0.9537184999814375,0.9128921193573067,0.2678226980119006,5
esmc_large,e5,s128,Overall,0.9083988413276355,0.937170872138433,0.8440885541189613,0.8241727332892126,0.6448513983379383,5
esmc_large,e5,s42,"9-mer overlap, not exact",0.9178258224572524,0.9821061703670066,0.9275201187881505,0.880194898251648,0.5832571750863804,5
esmc_large,e5,s42,>=1 9-mer overlap,0.899925975827767,0.9195152835285347,0.8251311770906614,0.8147759948056766,0.6287589846488342,5
esmc_large,e5,s42,Exact 15-mer match,0.886492315570172,0.8897981281916009,0.7905024537979143,0.8021468488906104,0.6035973538864624,5
esmc_large,e5,s42,No 9-mer overlap,0.8783174469546339,0.9958411791218597,0.9633973035631707,0.9303749043611325,0.28717793599588537,5
esmc_large,e5,s42,Overall,0.9103146467692363,0.9387934478322013,0.8498588540598764,0.8272749834546659,0.6471396543579606,5
esmc_medium,e5,s100,"9-mer overlap, not exact",0.9265203959902427,0.9839910911004708,0.9348673422699083,0.8912582401834337,0.6060343893214586,5
esmc_medium,e5,s100,>=1 9-mer overlap,0.9113629509471766,0.9281934505140855,0.8353516091515871,0.825401168722753,0.6505312273971469,5
esmc_medium,e5,s100,Exact 15-mer match,0.8987415330769132,0.9005595926566217,0.8013048337797939,0.812687434294251,0.6254541908968563,5
esmc_medium,e5,s100,No 9-mer overlap,0.8782526460374516,0.9959427724671794,0.9620921101318635,0.9279265493496558,0.2559223382687828,5
esmc_medium,e5,s100,Overall,0.9200009759856987,0.9452867784778348,0.857991721556529,0.8364865982792853,0.66631211359702,5
esmc_medium,e5,s128,"9-mer overlap, not exact",0.9256650879285887,0.9839105372943644,0.932204327543651,0.8876755517340212,0.6056030943542439,5
esmc_medium,e5,s128,>=1 9-mer overlap,0.9142726971113188,0.9306721963340678,0.8385197927452076,0.8299044615527317,0.6596206681965366,5
esmc_medium,e5,s128,Exact 15-mer match,0.9030419535237865,0.9049325614881955,0.806513310107761,0.8187517290986556,0.6369342239819173,5
esmc_medium,e5,s128,No 9-mer overlap,0.8708708800186095,0.9956676601145127,0.9582209399947563,0.920964039785769,0.26431825821258303,5
esmc_medium,e5,s128,Overall,0.9218326981414643,0.9466346951894199,0.8599325650798713,0.8397501654533421,0.6736956847263704,5
esmc_medium,e5,s42,"9-mer overlap, not exact",0.9261673759117806,0.9839253172448135,0.9345916875250431,0.8907709945543136,0.604056175858761,5
esmc_medium,e5,s42,>=1 9-mer overlap,0.9142916303665107,0.9306436144858825,0.8396181397044067,0.8301456265652536,0.6596395979033675,5
