model,lr,seed,fold,dir,kind,group,root,rel,path,src_path,file_path,val_auc,val_loss,test_path,serotype,roc_auc,pr_auc,f1,accuracy,mcc
blosum,e3,s128,2,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold2.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold2.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold2.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold2.csv,,,dataset/ms_ql/test.csv,DQ,0.9641568904832624,0.9477012777957676,0.8707883545960091,0.9085436443621208,0.8000263333493027
blosum,e3,s128,2,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold2.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold2.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold2.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold2.csv,,,dataset/ms_ql/test.csv,H2,0.8594451328652073,0.9177133356780524,0.8607825295723385,0.8106435643564357,0.566460231969858
blosum,e3,s128,3,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold3.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold3.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold3.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold3.csv,,,dataset/ms_ql/test.csv,DR,0.9318285966910882,0.8300612194477158,0.7550184350675953,0.8842935229526435,0.6793752549200758
blosum,e3,s128,3,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold3.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold3.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold3.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold3.csv,,,dataset/ms_ql/test.csv,DP,0.9791305028223743,0.9946679409294492,0.962461237147054,0.9401820546163848,0.8156947324125464
blosum,e3,s128,3,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold3.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold3.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold3.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold3.csv,,,dataset/ms_ql/test.csv,DQ,0.9661027337618604,0.948273013089004,0.8707753479125249,0.909701319749942,0.8014709943099162
blosum,e3,s128,3,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold3.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold3.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold3.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold3.csv,,,dataset/ms_ql/test.csv,H2,0.8680159713616963,0.9167481377870742,0.8687782805429864,0.8205445544554455,0.5876595448025832
blosum,e3,s128,4,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold4.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold4.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold4.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold4.csv,,,dataset/ms_ql/test.csv,DR,0.8628329955010884,0.645276095269276,0.6151645207439199,0.8178300198326319,0.4958899439092952
blosum,e3,s128,4,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold4.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold4.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold4.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold4.csv,,,dataset/ms_ql/test.csv,DP,0.9031023369108075,0.972941041110186,0.9238929889298892,0.871261378413524,0.5451035745122934
blosum,e3,s128,4,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold4.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold4.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold4.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold4.csv,,,dataset/ms_ql/test.csv,DQ,0.8693025492754399,0.8014188903238783,0.7194426852438252,0.7948599212780736,0.55895701371053
blosum,e3,s128,4,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold4.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold4.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold4.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s128/pred-blosum_fold4.csv,,,dataset/ms_ql/test.csv,H2,0.8162742668318876,0.887031720597394,0.8397600685518424,0.7685643564356436,0.4497580220718838
